AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
109.05,109.05,109.05,894.56,4,3,31.3526,61.14798641,0.0034024
6.46,6.46,6.46,12.7,1,2,100.1604,70.71268625,0.0017168
7.17,7.17,7.17,12.7,2,5,71.9806,6.549567342,19.3835968
89.86666667,84.2,94.51,572.49,3,10,97.9615,22.94570355,96.4030688
105.87,105.87,105.87,894.56,4,5,89.637,22.20889752,0.0026696
18.38666667,13.46,23.66,12.7,1,14,99.9876,41.61202215,0.0018736
8.596666667,6.96,11.38,12.7,2,11,99.0198,40.24949936,20.216752
73.66,73.18,74.14,572.49,3,8,97.9219,40.62063347,95.0203856
103.45,103.45,103.45,894.56,4,5,1.4279,5.918339177,0.0036504
19.24,17.97,20.38,12.7,1,16,21.7908,13.37012853,0.0016224
6.56,6.11,7.01,12.7,2,8,79.8303,14.96836232,20.7122984
84.1,83.82,84.38,572.49,3,8,32.1067,40.31145346,96.2505464
103.35,103.35,103.35,894.56,4,4,24.278,17.01520976,0.0023728
15.88,13.41,18.04,12.7,1,15,62.6994,9.327168105,0.0016312
11.475,10.16,12.79,12.7,2,7,46.1087,7.721897429,21.6082928
76.43,76.43,76.43,572.49,3,4,98.2175,52.81796443,96.0409472
105.07,105.07,105.07,894.56,4,2,99.5294,54.57863705,0.0023136
10.76,10.76,10.76,12.7,1,4,75.2146,15.75297487,0.0018504
73.39,73.39,73.39,572.49,3,3,97.9843,70.75220106,96.7707744
102.38,102.38,102.38,894.56,4,2,0.9063,7.89806557,0.0023168
9.41,9.22,9.6,12.7,1,9,31.4563,40.34995949,0.0016008
10.98,10.45,11.51,12.7,2,9,99.6834,42.89583517,21.851892
87.945,85.35,90.54,572.49,3,9,32.2137,59.02220777,96.4945024
6.82,6.82,6.82,12.7,1,4,99.9959,15.80668647,0.0017472
7.56,7.56,7.56,12.7,2,5,68.8242,6.552495277,21.1909048
81.04,81.04,81.04,572.49,3,7,98.0407,58.52812502,97.0173128
9.2,9.2,9.2,12.7,1,5,87.5562,12.58426115,0.0018568
8.46,8.39,8.53,12.7,2,9,75.9665,22.76596776,21.0782808
80.17,79.95,80.39,572.49,3,9,79.9816,22.26152653,95.7040736
104.35,104.35,104.35,894.56,4,3,1.622,5.947397079,0.002572
