AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
12.575,7.05,18.78,12.7,2,15,98.7027,53.84623523,0.0127696
75.75,75.75,75.75,572.49,3,7,90.877,15.57026193,0.004864
17.7025,15.57,19.03,12.7,1,16,99.1274,19.147607,48.7834864
7.16,7.16,7.16,12.7,2,4,52.7172,33.60001319,0.0086088
75.2,75.2,75.2,572.49,3,4,99.9875,45.70977677,0.0021656
13.8125,8.1,23.14,12.7,1,19,51.4906,6.026598929,49.9019824
12.33333333,7.88,15.29,12.7,2,12,98.6778,24.8533634,0.0109472
10.125,9.02,11.23,12.7,1,6,99.1713,19.04687623,48.3191632
11.765,10.26,13.27,12.7,2,11,99.5211,20.39906513,0.0021936
77.96,77.96,77.96,572.49,3,4,100.3834,46.49684976,0.0028344
109.27,109.27,109.27,894.56,4,5,100.4289,32.08728,0.004128
20.464,16.37,27.33,12.7,1,20,99.0442,71.00437246,49.3357376
15.06,11.29,20.28,12.7,1,19,99.4463,64.10121401,49.1664472
6.3,6.3,6.3,12.7,2,4,98.7049,73.38990069,0.0124752
75.79,75.79,75.79,572.49,3,5,100.4682,61.99371651,0.0021648
106.37,106.37,106.37,894.56,4,5,100.173,41.94856235,0.0042824
11.965,8.74,17.12,12.7,1,15,98.9234,64.50536735,48.7475656
11.56,10.58,12.54,12.7,2,10,53.7287,53.0551517,0.0073112
77.21,77.21,77.21,572.49,3,3,99.9812,59.45886363,0.0021904
106.37,106.37,106.37,894.56,4,4,99.9708,51.65776435,0.0039016
9.245,8.59,9.9,12.7,1,6,51.3188,6.123712847,49.3133944
16.5025,15.22,17.91,12.7,2,15,99.8106,43.02582069,0.0024648
94.325,94.29,94.36,572.49,3,10,50.5968,9.054230508,0.0036216
10.225,7.62,12.62,12.7,1,17,99.1213,38.49396907,47.6547664
103.92,103.92,103.92,894.56,4,5,99.9896,25.63133273,0.001756
5.82,5.82,5.82,12.7,1,4,40.0534,6.131955351,49.8077496
9.03,7.49,10.57,12.7,2,9,75.8938,10.1607928,0.0021056
92.41,91.82,93,572.49,3,10,37.9483,7.570579822,0.0034952
13.6625,8.57,17.61,12.7,1,18,99.2192,54.9192616,48.977748
15.7875,14.1,17,12.7,1,15,99.0526,54.81252733,49.7376816
6.17,6.17,6.17,12.7,2,3,56.0935,39.15282808,0.0085872
74.905,74.25,75.56,572.49,3,8,99.9854,49.11735086,0.0020752
103.21,103.21,103.21,894.56,4,4,76.3583,12.84843955,0.0060032
7.65,6.59,8.71,12.7,1,6,50.608,6.164482485,49.1495712
13.69333333,10.11,17.12,12.7,2,13,99.8604,39.90405233,0.0025056
81.835,80.39,83.28,572.49,3,8,51.3276,8.388925126,0.0033616
107.89,107.89,107.89,894.56,4,4,51.9652,6.20446478,0.0062368
9.65,6.52,12.78,12.7,2,8,99.9667,35.35497757,0.0017368
7.565,7.14,7.99,12.7,1,7,99.0755,67.65269976,49.1521696
12.9,9.49,15.64,12.7,2,13,52.2241,22.27011349,0.0022704
