AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
7.69,6.76,8.62,12.7,1,6,98.1636,70.41347106,48.3293504
8.74,7.8,9.68,12.7,2,8,100.3834,65.08714049,0.0030248
75.1,75.1,75.1,572.49,3,3,99.438,65.3245246,0.0024288
101.17,101.17,101.17,894.56,4,1,99.9834,30.30421728,0.0041488
7.73,7.73,7.73,12.7,1,3,73.3711,18.64562622,49.5240568
5.49,5.49,5.49,12.7,2,1,99.9791,19.27087549,0.0027256
91.83666667,91.27,92.43,572.49,3,9,27.1396,6.317251757,0.0050048
117.46,115.65,119.27,894.56,4,5,29.983,11.57026095,0.0083288
8.7,8.7,8.7,12.7,1,2,98.632,28.40280698,48.8396768
6.15,6.15,6.15,12.7,2,4,28.0512,29.04021087,0.002656
73.24,73.24,73.24,572.49,3,2,63.5225,19.27778936,0.0038384
107.71,107.71,107.71,894.56,4,3,99.9855,27.09005907,0.0041664
8.11,8.11,8.11,12.7,1,4,98.1363,41.30896866,48.857632
5.92,5.92,5.92,12.7,2,4,100.327,35.19037354,0.0027248
78.72,78.48,78.96,572.49,3,6,99.9938,35.58047772,0.0025128
101.98,101.98,101.98,894.56,4,2,99.9708,38.79072381,0.0065584
14.80333333,13.69,15.41,12.7,1,11,72.7342,41.21598829,49.5210456
6.9,6.9,6.9,12.7,2,5,100.0209,42.42325675,0.0060224
83.195,82.66,83.73,572.49,3,7,27.527,6.326724486,0.0025856
106.68,106.68,106.68,894.56,4,1,28.6504,9.472654448,0.0062216
9.31,9.31,9.31,12.7,1,2,98.3779,57.5216538,49.1894704
5.98,5.98,5.98,12.7,2,2,27.9645,58.15022468,0.0026816
79.19,79.19,79.19,572.49,3,6,63.3073,9.63649574,0.0038992
108.21,108.21,108.21,894.56,4,3,99.9916,27.11951065,0.0042136
9.17,7.29,12.19,12.7,1,9,98.2196,34.76449444,49.0153176
6.44,6.44,6.44,12.7,2,3,100.0418,32.81141471,0.003472
73.3,73.3,73.3,572.49,3,2,99.9646,32.33022472,0.0025296
101.1,101.1,101.1,894.56,4,2,99.9771,33.57499042,0.003924
11.89,6.32,18.27,12.7,1,17,72.8813,25.09515171,49.7110736
14.03666667,12.02,16.3,12.7,2,11,99.0338,28.12918046,0.013592
74.8,74.8,74.8,572.49,3,2,29.787,7.83694802,0.0035704
106.65,106.65,106.65,894.56,4,2,72.3327,7.607535764,0.0042464
17.7975,15.66,23.43,12.7,1,14,98.3801,47.854181,49.4472
12.65666667,11.7,13.76,12.7,2,10,30.3164,7.999657506,0.0102392
85.75,85.28,86.22,572.49,3,8,99.5687,49.940248,0.002768
107.94,107.94,107.94,894.56,4,3,99.7231,64.68463565,0.0063296
12.47,11.04,13.64,12.7,1,12,98.5861,41.35559416,49.29818
10.43,9.35,11.51,12.7,2,8,99.9647,39.24844112,0.0037056
72.76,72.76,72.76,572.49,3,3,99.6564,39.45492199,0.0028192
101.73,101.73,101.73,894.56,4,2,99.9542,23.88830153,0.0040472
11.72666667,11.03,13.1,12.7,1,12,98.0468,57.38947848,49.0006704
6.61,6.61,6.61,12.7,2,3,29.18,6.898852668,0.005636
77.28,77.28,77.28,572.49,3,4,99.7064,25.88825281,0.002496
106.53,106.53,106.53,894.56,4,1,100.1541,49.7544349,0.0041912
13.58333333,12.45,15.3,12.7,1,12,0.1668,4.700859853,0.0018144
7.85,7.85,7.85,12.7,2,6,99.9229,36.59588037,0.0063216
82.41,81.97,82.85,572.49,3,7,97.853,35.55274846,95.4026768
101.76,101.76,101.76,894.56,4,3,99.9646,22.64769398,0.0063792
18.84,14.89,22.83,12.7,1,18,53.1363,21.76025927,0.0019728
10.2,8.94,11.84,12.7,2,9,79.6554,24.83244958,0.011036
107.22,107.22,107.22,894.56,4,1,63.1362,5.582979992,0.0019088
24.558,18.38,27.43,12.7,1,20,99.9938,44.56178052,0.0017992
6.18,6.18,6.18,12.7,2,3,30.6081,8.658098235,0.013304
108.29,108.29,108.29,894.56,4,3,100.1187,31.55592145,0.0018528
20.095,14.48,23.41,12.7,1,15,99.9917,15.49356974,0.0018128
9.415,7.5,11.33,12.7,2,9,99.8185,70.96424254,0.0098144
83.78333333,76.82,89,572.49,3,10,97.1723,71.89995126,97.4394544
101.93,101.93,101.93,894.56,4,4,99.9188,69.86028833,0.0078936
9.93,6.66,13.04,12.7,1,9,70.0978,56.63065144,0.001948
13.44,11.21,15.44,12.7,2,12,99.8793,52.24913325,0.0041312
78.74,78.28,79.2,572.49,3,5,31.2292,7.843591232,96.1108136
115.545,114.59,116.5,894.56,4,5,19.6789,9.594914154,0.0054408
