AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
110.85,110.85,110.85,894.56,4,5,99.9937,18.72052228,0.0023216
12.83333333,11.19,13.78,12.7,1,12,99.9875,31.5901955,0.0017816
9.07,8.29,9.85,12.7,2,6,89.5532,55.42530212,0.0107888
79.2,79.2,79.2,572.49,3,4,97.9987,65.52662587,95.447788
103.8,103.8,103.8,894.56,4,3,99.9937,47.82062048,0.0025096
17.88666667,15.98,19.24,12.7,1,14,11.9271,41.34073305,0.0015968
15.34666667,13.44,17.47,12.7,2,14,99.4357,43.17529296,0.0112016
89.93,89.32,90.54,572.49,3,9,12.2896,63.04051449,98.0298784
105.77,105.77,105.77,894.56,4,3,12.6586,57.5907432,0.0026432
10.285,9.31,11.26,12.7,1,7,100.431,60.82374845,0.0017008
6.79,6.79,6.79,12.7,2,4,99.9895,6.889675194,0.0051288
112.15,112.15,112.15,894.56,4,5,100.3082,41.30466287,0.0018768
10.57,10.57,10.57,12.7,1,6,75.238,18.68073683,0.0017872
7.18,7.18,7.18,12.7,2,5,88.7787,63.11905202,0.0044456
75.94,75.94,75.94,572.49,3,6,98.4778,61.54549653,96.3633112
104.88,104.88,104.88,894.56,4,3,100.0499,62.83108108,0.0034688
7.37,7.37,7.37,12.7,1,4,10.8392,25.21989647,0.0017152
6.53,6.53,6.53,12.7,2,3,99.9875,25.85656223,0.002784
97.48,92.98,99.91,572.49,3,9,98.0635,6.387719014,95.8033136
11.585,10.11,13.06,12.7,1,7,100.3165,34.89794919,0.0016952
7.85,7.75,7.95,12.7,2,7,99.9917,6.954065141,0.0045056
110.31,110.31,110.31,894.56,4,4,100.2124,34.89297908,0.0018848
11.6,11.44,11.76,12.7,1,9,87.5289,12.30148176,0.0016544
17.11,11.67,20.84,12.7,2,15,80.9321,22.30738929,0.0082112
83.13,82.71,83.55,572.49,3,9,90.3012,24.1857944,96.4436632
102.16,102.16,102.16,894.56,4,3,99.9917,51.14195585,0.0024592
15.26666667,13.18,16.97,12.7,1,14,8.2341,31.84288361,0.0016296
12.75333333,10.37,15.83,12.7,2,12,99.2587,33.68571062,0.0111624
85.785,85.11,86.46,572.49,3,6,11.546,46.94342124,97.0717168
104.19,104.19,104.19,894.56,4,3,11.2751,22.09433902,0.002428
13.19333333,12.09,14.18,12.7,2,11,99.9917,5.870089774,0.0017264
110.14,110.14,110.14,894.56,4,5,100.2145,42.42593864,0.0017816
9.07,9.07,9.07,12.7,1,4,99.9917,35.1051928,0.0017224
14.21666667,11.89,16.36,12.7,2,13,91.1226,22.84654746,0.0030664
73.91,73.91,73.91,572.49,3,3,98.4486,24.43139641,94.9320256
104.39,104.39,104.39,894.56,4,5,99.9895,33.81894393,0.0030488
5.63,5.63,5.63,12.7,2,3,62.7368,18.89388551,0.001808
82.885,82.33,83.44,572.49,3,6,63.8306,6.659746244,97.7872296
107.82,107.82,107.82,894.56,4,4,11.2771,9.923236455,0.0062304
14.625,11.9,18.64,12.7,1,18,99.9958,25.38390999,0.0016368
7.03,7.03,7.03,12.7,2,4,98.5424,8.38894973,0.0149104
106.8,106.8,106.8,894.56,4,3,100.0082,48.04388161,0.0016216
18.44666667,16.22,21.04,12.7,1,14,99.9917,35.18146672,0.0016896
9.845,6.13,13.56,12.7,2,8,60.1486,11.11571762,0.0111616
76.74,76.74,76.74,572.49,3,5,63.1795,10.76392263,97.7368032
19.735,13.65,23.38,12.7,1,16,10.22,57.83053855,0.0017456
8.42,8.03,8.81,12.7,2,9,99.0358,60.27051651,0.0149656
81.515,80.73,82.3,572.49,3,8,12.1649,52.18678547,96.445636
103.35,103.35,103.35,894.56,4,3,12.4298,8.102479665,0.0023248
6.86,6.86,6.86,12.7,2,5,99.9937,5.934258282,0.0018456
77.33,75.18,79.48,572.49,3,10,2.1741,6.653570517,97.759736
107.57,107.57,107.57,894.56,4,5,100.1084,35.98942893,0.0036032
14.05333333,5.77,22.4,12.7,1,14,87.6083,22.17856019,0.0017536
8.853333333,6.88,10.44,12.7,2,11,89.0251,55.32203708,0.0122192
81.915,81.03,82.8,572.49,3,8,97.9778,64.40210231,95.4330424
103.88,103.88,103.88,894.56,4,5,100.0105,35.18444386,0.0024736
19.6025,16.52,21.61,12.7,1,16,10.3482,44.86079887,0.0016528
8.195,7.59,8.8,12.7,2,8,99.1274,47.29472413,0.0153248
83.565,83.29,83.84,572.49,3,8,10.5266,7.427799972,97.0569
103.68,103.68,103.68,894.56,4,4,10.8015,15.78707669,0.0024896
13.615,8.3,17.42,12.7,1,15,37.7415,12.4409646,0.0016944
7.52,7.52,7.52,12.7,2,7,42.0678,8.347515771,0.014496
73.37,73.37,73.37,572.49,3,4,1.1909,6.646804283,96.7054488
7.53,7.53,7.53,12.7,1,4,99.9896,61.04186724,0.0017752
5.98,5.98,5.98,12.7,2,3,57.0185,13.14551415,0.0037912
8.34,8.01,8.67,12.7,1,9,5.1581,7.038360121,0.0016792
9.24,9.11,9.37,12.7,2,9,63.9892,10.57783888,0.0076168
85.82,85.79,85.85,572.49,3,9,6.6023,7.431539855,98.1279112
8.42,8.42,8.42,12.7,1,4,99.9896,25.49546675,0.0016072
5.53,5.53,5.53,12.7,2,5,99.9917,6.618140053,0.0035648
77.885,77.17,78.6,572.49,3,7,1.1083,6.664027425,97.0993368
8.11,8.11,8.11,12.7,1,5,99.9937,41.65239811,0.001676
7.14,6.99,7.29,12.7,2,9,23.1258,9.850702421,0.0039584
86.025,85.43,86.62,572.49,3,9,26.9434,10.68804239,96.2404144
102.69,102.69,102.69,894.56,4,3,99.975,67.62270689,0.0035624
12.25333333,11.77,12.64,12.7,1,12,4.7315,61.08529417,0.0017032
13.14666667,10.42,15.81,12.7,2,12,99.6938,62.91759046,0.0102248
75.23,75.23,75.23,572.49,3,3,11.7591,22.35600776,95.8504656
108.19,108.19,108.19,894.56,4,4,10.627,25.85981002,0.0022792
11.61,9.28,13.25,12.7,2,12,99.9916,5.992890779,0.001884
71.72,71.72,71.72,572.49,3,2,2.0328,8.080778506,94.374148
107.63,107.63,107.63,894.56,4,4,99.9938,42.38509519,0.0032024
23.838,21.31,27.57,12.7,1,20,99.9895,38.43516434,0.0015224
6.21,6.21,6.21,12.7,2,3,89.6582,54.86134263,0.1859272
78.46,78.23,78.69,572.49,3,9,98.2653,68.36194876,96.3438384
102.16,102.16,102.16,894.56,4,4,99.9208,28.8381096,0.0023928
12.04333333,11.04,12.85,12.7,1,11,8.3848,57.83162115,0.00162
15.82,11.61,18.58,12.7,2,15,99.7211,59.64622682,0.0103856
79.51,79.51,79.51,572.49,3,5,12.4483,45.69557998,96.7735072
107.58,107.58,107.58,894.56,4,4,11.6238,51.42050327,0.0023672
6.01,6.01,6.01,12.7,1,5,100.0958,48.2383555,0.0017072
5.61,5.61,5.61,12.7,2,4,99.9854,6.619690136,0.0035472
108.6,108.6,108.6,894.56,4,5,100.354,35.20048599,0.0018408
12.02,10.48,13.27,12.7,2,12,91.061,46.82128456,0.001804
74.46,74.46,74.46,572.49,3,2,98.1404,50.31556487,95.3614104
103.01,103.01,103.01,894.56,4,4,99.923,69.68719575,0.003368
6.36,6.36,6.36,12.7,2,6,99.9895,48.1545034,0.0018584
75.58,75.58,75.58,572.49,3,2,98.0883,6.718058883,96.7116224
16.93333333,13.47,18.84,12.7,1,14,75.1567,12.56984292,0.001684
10.51,7.93,13.87,12.7,2,15,99.9937,24.31612438,0.0018528
107.89,107.89,107.89,894.56,4,5,3.0604,29.18326137,0.001856
