103.58,103.58,894.56,4,4,99.987,35.33,0.002116,-0.00055085,0.00055085
18.28,11.189,12.7,1,20,73.005,34.797,96.772,7.0907,7.0907
6.12,6.3167,12.7,2,3,98.78,38.38,0.016746,-0.19674,0.19674
86.77,89.401,572.49,3,9,27.056,6.9395,0.0025088,-2.6306,2.6306
105.68,106.5,894.56,4,4,72.814,10.151,0.0064032,-0.82145,0.82145
11.19,11.189,12.7,1,11,98.103,41.87,96.421,0.0006639,0.0006639
11.09,11.189,12.7,2,15,28.994,6.8088,0.0041592,-0.099336,0.099336
86.04,79.266,572.49,3,5,98.665,31.853,0.0030432,6.7742,6.7742
106.08,103.58,894.56,4,4,99.971,49.151,0.006348,2.4994,2.4994
7.71,8.3554,12.7,1,5,97.974,71.096,96.428,-0.64538,0.64538
7.92,6.3167,12.7,2,4,51.419,17.15,0.0025736,1.6033,1.6033
73.15,75.271,572.49,3,1,50.74,16.649,0.0027488,-2.1211,2.1211
110.03,109.49,894.56,4,5,99.985,66.625,0.0040936,0.5413,0.5413
8.79,8.3554,12.7,1,2,73.516,37.586,95.739,0.43462,0.43462
12,11.189,12.7,2,12,99.979,42.517,0.0027256,0.81066,0.81066
75.22,75.271,572.49,3,2,27.126,8.3002,0.0027936,-0.051071,0.051071
107.81,106.5,894.56,4,4,27.574,8.1532,0.0040344,1.3085,1.3085
6.12,8.3554,12.7,1,2,98.44,63.843,97.774,-2.2354,2.2354
8.29,7.9123,12.7,2,6,27.186,65.25,0.0025648,0.37769,0.37769
105.85,106.34,894.56,4,1,100.43,51.61,0.0021056,-0.48961,0.48961
11.83,11.189,12.7,1,14,98.42,71.027,98.101,0.64066,0.64066
17.04,8.3554,12.7,1,1,98.613,56.732,49.004,8.6846,8.6846
8.28,11.189,12.7,2,15,29.475,57.869,0.0027744,-2.9093,2.9093
81.4,75.271,572.49,3,3,98.59,21.297,0.002912,6.1289,6.1289
112.47,114.18,894.56,4,5,100.24,23.656,0.0044376,-1.7117,1.7117
8.35,8.3554,12.7,1,9,98.253,54.118,48.736,-0.0053757,0.0053757
6.53,6.3167,12.7,2,4,39.613,13.685,0.0031968,0.21326,0.21326
73.42,75.271,572.49,3,3,38.217,12.604,0.002412,-1.8511,1.8511
103.58,109.49,894.56,4,5,99.987,33.334,0.0038368,-5.9087,5.9087
13.64,11.189,12.7,1,14,72.899,52.081,49.19,2.4507,2.4507
6.27,6.3167,12.7,2,5,99.877,65.592,0.0065272,-0.046739,0.046739
88.57,89.401,572.49,3,10,29.309,6.8332,0.0025224,-0.83059,0.83059
106.82,106.5,894.56,4,2,72.679,9.4278,0.0064968,0.31855,0.31855
11.01,8.3554,12.7,1,7,90.723,15.26,49.474,2.6546,2.6546
9.87,7.9123,12.7,2,7,25.285,16.529,0.0029496,1.9577,1.9577
87.14,79.266,572.49,3,5,99.979,45.798,0.0023936,7.8742,7.8742
106.85,106.34,894.56,4,2,100.15,67.841,0.0064128,0.51039,0.51039
10.29,8.3554,12.7,1,7,98.584,67.093,48.822,1.9346,1.9346
8.7,11.189,12.7,2,11,88.339,13.331,0.0028096,-2.4893,2.4893
80.11,79.266,572.49,3,6,90.677,14.209,0.002924,0.84421,0.84421
101.74,103.58,894.56,4,2,99.985,25.756,0.0057752,-1.8406,1.8406
