103.58,110.81,894.56,4,4,99.987,35.33,0.002116,-7.2338,7.2338
24.14,28.398,12.7,1,20,73.005,34.797,96.772,-4.258,4.258
6.12,5.7828,12.7,2,3,98.78,38.38,0.016746,0.33725,0.33725
88.5,79.35,572.49,3,9,27.056,6.9395,0.0025088,9.1503,9.1503
105.68,111.71,894.56,4,4,72.814,10.151,0.0064032,-6.0263,6.0263
13.3,19.215,12.7,1,11,98.103,41.87,96.421,-5.9148,5.9148
18.13,18.798,12.7,2,15,28.994,6.8088,0.0041592,-0.6682,0.6682
86.87,74.488,572.49,3,5,98.665,31.853,0.0030432,12.382,12.382
106.08,110.33,894.56,4,4,99.971,49.151,0.006348,-4.25,4.25
9.65,12.25,12.7,1,5,97.974,71.096,96.428,-2.6004,2.6004
7.92,7.5346,12.7,2,4,51.419,17.15,0.0025736,0.38544,0.38544
73.15,71.078,572.49,3,1,50.74,16.649,0.0027488,2.0715,2.0715
110.33,110.71,894.56,4,5,99.985,66.625,0.0040936,-0.37833,0.37833
8.79,10.436,12.7,1,2,73.516,37.586,95.739,-1.6463,1.6463
14.69,14.549,12.7,2,12,99.979,42.517,0.0027256,0.14097,0.14097
75.22,72.37,572.49,3,2,27.126,8.3002,0.0027936,2.8496,2.8496
107.81,111.79,894.56,4,4,27.574,8.1532,0.0040344,-3.9841,3.9841
6.12,9.5851,12.7,1,2,98.44,63.843,97.774,-3.4651,3.4651
9.7,7.8404,12.7,2,6,27.186,65.25,0.0025648,1.8596,1.8596
105.85,107.27,894.56,4,1,100.43,51.61,0.0021056,-1.4228,1.4228
22.01,21.229,12.7,1,14,98.42,71.027,98.101,0.78102,0.78102
17.04,6.9716,12.7,1,1,98.613,56.732,49.004,10.068,10.068
17.13,17.01,12.7,2,15,29.475,57.869,0.0027744,0.11989,0.11989
81.4,72.877,572.49,3,3,98.59,21.297,0.002912,8.5227,8.5227
116.38,112.21,894.56,4,5,100.24,23.656,0.0044376,4.1672,4.1672
11.24,14.975,12.7,1,9,98.253,54.118,48.736,-3.7349,3.7349
6.53,7.6606,12.7,2,4,39.613,13.685,0.0031968,-1.1306,1.1306
73.42,73.206,572.49,3,3,38.217,12.604,0.002412,0.21445,0.21445
105.02,111.87,894.56,4,5,99.987,33.334,0.0038368,-6.854,6.854
18.59,20.025,12.7,1,14,72.899,52.081,49.19,-1.4349,1.4349
7.78,6.8096,12.7,2,5,99.877,65.592,0.0065272,0.97038,0.97038
89.44,80.343,572.49,3,10,29.309,6.8332,0.0025224,9.0972,9.0972
106.82,109.75,894.56,4,2,72.679,9.4278,0.0064968,-2.9312,2.9312
11.95,14.386,12.7,1,7,90.723,15.26,49.474,-2.4364,2.4364
12.46,10.537,12.7,2,7,25.285,16.529,0.0029496,1.9226,1.9226
87.78,73.999,572.49,3,5,99.979,45.798,0.0023936,13.781,13.781
106.85,107.7,894.56,4,2,100.15,67.841,0.0064128,-0.84504,0.84504
11.32,12.543,12.7,1,7,98.584,67.093,48.822,-1.2233,1.2233
15.07,14.585,12.7,2,11,88.339,13.331,0.0028096,0.48465,0.48465
82.19,76.099,572.49,3,6,90.677,14.209,0.002924,6.0907,6.0907
101.74,109.17,894.56,4,2,99.985,25.756,0.0057752,-7.4287,7.4287
6.75,8.3322,12.7,1,2,71.443,47.031,49.522,-1.5822,1.5822
14.34,13.018,12.7,2,11,100.04,57.95,0.0025696,1.3216,1.3216
77.21,74.375,572.49,3,4,29.471,7.5963,0.0029656,2.8354,2.8354
116.95,112.81,894.56,4,5,27.884,7.4126,0.0045352,4.1398,4.1398
20.09,20.534,12.7,1,14,98.719,37.926,49.796,-0.44357,0.44357
18.15,15.809,12.7,2,12,29.298,7.3472,0.0080264,2.3413,2.3413
77.22,73.669,572.49,3,4,90.912,27.042,0.0032824,3.5506,3.5506
107.5,109.44,894.56,4,3,99.992,46.381,0.0044864,-1.9367,1.9367
66.13,26.89,12.7,1,20,89.015,24.912,48.646,39.24,39.24
6.49,4.4754,12.7,2,2,99.932,47.424,0.015814,2.0146,2.0146
76.23,78.974,572.49,3,10,99.579,45.144,0.0023936,-2.7436,2.7436
